JokeyAdi,KosuAdet,derece1,derece2,derece3,derece4,derece5,derece1yuzde,derece2yuzde,derece3yuzde,derece4yuzde,derece5yuzde
MUSTAFA MANAV (Y2)&nbsp;,1390,93,100,113,121,140,7,7,8,9,10
FURKAN ÇETİN (Y2)&nbsp;,1102,92,86,105,109,130,8,8,10,10,12
FERHAT TAŞ,880,77,74,83,92,75,9,8,9,10,9
AKİF YILMAZ,1018,73,76,65,86,86,7,7,6,8,8
EMRAH EFE,1185,72,98,80,110,100,6,8,7,9,8
FİKRET ÇELTİK,1482,72,90,128,127,138,5,6,9,9,9
FURKAN HİM (Y1)&nbsp;,1302,66,88,93,98,128,5,7,7,8,10
ZAFER TEMUÇİN,1058,64,70,90,93,88,6,7,9,9,8
İSMET TUFANLI,1083,63,95,110,118,251,6,9,10,11,23
SEFER DEMİR (Y1)&nbsp;,1267,60,81,90,96,125,5,6,7,8,10
TUFAN ADIŞEN,758,58,61,73,105,55,8,8,10,14,7
FAHRİ ATCI,683,52,53,64,70,64,8,8,9,10,9
ZÜLFÜKAR KURT,722,51,48,75,78,79,7,7,10,11,11
FATİH SAV (Y1)&nbsp;,698,42,38,53,61,44,6,5,8,9,6
ZAFER DEMİR (Y1)&nbsp;,641,41,39,38,46,50,6,6,6,7,8
FİKRET KESEBİR,268,39,48,37,48,24,15,18,14,18,9
SÜLEYMAN FEHMİ KARAGÖZ,533,33,29,46,45,62,6,5,9,8,12
FERHAT İÇSEL (Y1)&nbsp;,691,32,40,49,40,53,5,6,7,6,8
İRFAN YAKUT (Y1)&nbsp;,601,31,36,32,53,55,5,6,5,9,9
ALİ ALPAGUT,4427,444,466,482,471,482,10,11,11,11,11
GÖKHAN GÜL,4636,382,488,530,506,475,8,11,11,11,10
MEHMET GÖNÜLTAŞ,4075,283,374,348,355,396,7,9,9,9,10
MERT GÖKALP ARSLAN,3481,254,303,307,318,348,7,9,9,9,10
MEHMET GÜNEŞ,1610,191,227,213,244,220,12,14,13,15,14
GÖKHAN YILMAZ,1973,125,142,138,175,175,6,7,7,9,9
ERDİ GÖKÇE,1485,110,118,130,102,127,7,8,9,7,9
İSMAİL GÜNGÖR,948,109,114,114,128,94,11,12,12,14,10
BERKANT GÖKÇE (Y2)&nbsp;,1500,103,132,132,116,164,7,9,9,8,11
ÖZGÜR BİÇER,1703,98,101,116,139,153,6,6,7,8,9
NAİM GÜL,1054,88,114,127,125,131,8,11,12,12,12
AHMET GÖKÇE (Y2)&nbsp;,1537,86,113,99,121,168,6,7,6,8,11
MÜDEHET GÖKÇE,1471,81,110,96,148,151,6,7,7,10,10
OSMAN İŞGÖREN,980,76,75,113,122,73,8,8,12,12,7
YİĞİTCAN GÖKÇE (Y1)&nbsp;,918,76,86,75,90,114,8,9,8,10,12
GÖKMEN GÖKÇE,1676,71,87,116,120,155,4,5,7,7,9
ÖZGÜR GÖNÜLTAŞ (Y1)&nbsp;,933,68,96,99,87,95,7,10,11,9,10
ENGİN KARATAŞ,829,67,63,64,69,84,8,8,8,8,10
HACI GÜNGÖR,930,67,65,74,78,86,7,7,8,8,9
CÜNEYT GÖKÇE (Y1)&nbsp;,1021,65,90,105,104,98,6,9,10,10,10
KEMALETTİN EZGİ,491,62,48,56,55,92,13,10,11,11,19
SİNAN GÜLENYÜZLER (Y1)&nbsp;,1004,58,62,73,57,89,6,6,7,6,9
ORHAN AKGÖNÜL (Y1)&nbsp;,1078,58,65,75,73,110,5,6,7,7,10
UĞUR TEMUR,4705,413,427,484,479,468,9,9,10,10,10
