kayit_ts,tarih,pist,seq,ilk_saat,config,ayak,kosu_no,race_kod,saat,secim,banker,nat,kazanan,tuttu,sonuclandi
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,dar,4,8,226364,20:30,"1,6",0,2,6.0,1.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,dar,5,9,226357,21:00,"1,2",0,2,1.0,1.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,dar,6,10,226375,21:30,"5,11",0,2,2.0,0.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,orta,1,5,226366,19:00,"1,9",0,2,9.0,1.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,orta,2,6,226360,19:30,"7,8",0,2,7.0,1.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,orta,3,7,226365,20:00,"2,4",0,2,3.0,0.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,orta,4,8,226364,20:30,"1,6",0,2,6.0,1.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,orta,5,9,226357,21:00,"1,2",0,2,1.0,1.0,2026-07-24
2026-07-24 18:31,2026-07-24,ISTANBUL,2,19:00,orta,6,10,226375,21:30,"5,9,11",0,3,2.0,0.0,2026-07-24
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,dar,1,2,226387,15:00,6,0,1,11.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,dar,2,3,226386,15:30,3,0,1,6.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,dar,3,4,226380,16:00,"2,7",0,2,5.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,dar,4,5,226381,16:30,"2,3",0,2,2.0,1.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,dar,5,6,226384,17:00,"1,6",0,2,3.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,dar,6,7,226385,17:30,"4,11",0,2,4.0,1.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,orta,1,2,226387,15:00,"6,7",0,2,11.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,orta,2,3,226386,15:30,"3,9",0,2,6.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,orta,3,4,226380,16:00,"2,7",0,2,5.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,orta,4,5,226381,16:30,"2,3",0,2,2.0,1.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,orta,5,6,226384,17:00,"1,6",0,2,3.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,orta,6,7,226385,17:30,"4,7,11",0,3,4.0,1.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis,1,2,226387,15:00,"6,7",0,2,11.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis,2,3,226386,15:30,"3,9",0,2,6.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis,3,4,226380,16:00,"2,7,8",0,3,5.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis,4,5,226381,16:30,"2,3,4",0,3,2.0,1.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis,5,6,226384,17:00,"1,6",0,2,3.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis,6,7,226385,17:30,"4,7,11",0,3,4.0,1.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis900,1,2,226387,15:00,"5,6,7",0,3,11.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis900,2,3,226386,15:30,"2,3,9",0,3,6.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis900,3,4,226380,16:00,"2,7,8",0,3,5.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis900,4,5,226381,16:30,"2,3,4",0,3,2.0,1.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis900,5,6,226384,17:00,"1,2,6",0,3,3.0,0.0,2026-07-25
2026-07-25 14:45,2026-07-25,ANKARA,1,15:00,genis900,6,7,226385,17:30,"4,7,11",0,3,4.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,dar,1,2,226401,18:00,7,0,1,10.0,0.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,dar,2,3,226393,18:30,"7,8",0,2,7.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,dar,3,4,226392,19:00,"1,2",0,2,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,dar,4,5,226391,19:30,2,1,1,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,dar,5,6,226390,20:00,"1,2",0,2,1.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,dar,6,7,226399,20:30,"2,4",0,2,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,orta,1,2,226401,18:00,"2,7",0,2,10.0,0.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,orta,2,3,226393,18:30,"7,8",0,2,7.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,orta,3,4,226392,19:00,"1,2",0,2,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,orta,4,5,226391,19:30,2,1,1,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,orta,5,6,226390,20:00,"1,2,5",0,3,1.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,orta,6,7,226399,20:30,"2,4,6",0,3,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis,1,2,226401,18:00,"2,4,7",0,3,10.0,0.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis,2,3,226393,18:30,"6,7,8",0,3,7.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis,3,4,226392,19:00,"1,2,12",0,3,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis,4,5,226391,19:30,2,1,1,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis,5,6,226390,20:00,"1,2,5",0,3,1.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis,6,7,226399,20:30,"2,4,6",0,3,2.0,1.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis900,1,2,226401,18:00,"2,4,7",0,3,10.0,0.0,2026-07-25
2026-07-25 17:30,2026-07-25,IZMIR,1,18:00,genis900,2,3,226393,18:30,"6,7,8,9",0,4,7.0,1.0,2026-07-25
