race_kod,no,at_kod,bot2,kamu,kazandi,irk
183553,7,73057,0.4204540030602555,0.435434838629836,1,Ingiliz
183553,8,78300,0.058731888824024685,0.06511175157081661,0,Ingiliz
183553,9,77851,0.011766304378685075,0.014305867388249231,0,Ingiliz
185378,1,61389,0.0515892008054812,0.05440419198209426,0,Ingiliz
185378,2,76573,0.03674689396165766,0.03209095195257173,0,Ingiliz
185378,3,78944,0.036161472427419794,0.03388679597911467,0,Ingiliz
185378,4,73969,0.2767718447171775,0.25322678449847513,0,Ingiliz
185378,5,69003,0.0408099936414069,0.0432530221969445,0,Ingiliz
185378,6,51778,0.032543753314940166,0.03525942568966109,0,Ingiliz
185378,7,76655,0.10355155480969974,0.10551116020769796,0,Ingiliz
185378,8,77920,0.20522131655734932,0.17194411293106335,1,Ingiliz
185378,9,76761,0.017352305902085675,0.023526137073338053,0,Ingiliz
185378,10,76425,0.035419205546060144,0.035081796341098564,0,Ingiliz
185378,11,76819,0.01498326162938387,0.020572338474765334,0,Ingiliz
185378,12,79042,0.018165229459678026,0.02895524562872376,0,Ingiliz
185378,13,76469,0.01867488844089696,0.02393036623267376,0,Ingiliz
185378,14,72109,0.01980399955369914,0.02550819257768522,0,Ingiliz
185378,15,70793,0.01120987971221238,0.01434343269558819,0,Ingiliz
185378,16,69968,0.011814555156144158,0.014722487470841575,0,Ingiliz
185378,17,77101,0.03829162930770937,0.04145081293873848,0,Ingiliz
185378,18,76292,0.030889015056998093,0.04233274512892441,0,Ingiliz
184864,1,52099,0.022430597354774345,0.022856798608258434,0,Ingiliz
184864,2,68658,0.03280221386054688,0.03883745724523021,0,Ingiliz
184864,3,77084,0.16528389703046903,0.15843917217088233,1,Ingiliz
184864,4,76754,0.20053147110502895,0.1700322823297274,0,Ingiliz
184864,5,73696,0.08217480240643191,0.08013015604044624,0,Ingiliz
184864,6,76216,0.08443421413947916,0.10103367500751917,0,Ingiliz
184864,7,78969,0.2622727721370802,0.27338523825564015,0,Ingiliz
184864,8,73506,0.10317170313661464,0.10103367500751917,0,Ingiliz
184864,9,79102,0.04689832882957488,0.05425154533477683,0,Ingiliz
185280,1,71765,0.03357252307247038,0.04086354742355901,0,Ingiliz
185280,2,78532,0.13855250949334053,0.12479948267195048,0,Ingiliz
185280,3,68650,0.12563764951169318,0.10494501951959471,0,Ingiliz
185280,4,52099,0.020905378015530458,0.02623625487989868,0,Ingiliz
185280,5,74667,0.2020990702028126,0.2164491027591641,0,Ingiliz
185280,6,72024,0.03263436999965929,0.03370496977271655,0,Ingiliz
185280,7,76082,0.3320843282699491,0.3298272042044405,1,Ingiliz
185280,8,79024,0.057046559652702986,0.06268209310672626,0,Ingiliz
185280,9,79112,0.05746761178184157,0.0604923256619498,0,Ingiliz
183149,1,60711,0.058402925502921,0.06632250272688146,0,Ingiliz
183149,2,73102,0.1808381270311584,0.1989675081806444,1,Ingiliz
